Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Media
9379856130,"Jun 30, 2023, 9:26:21 PM",Oakland - Webster Groves Christian Church Disciples of Christ,Run,,1415,2.97,,,false,,,activities/10061207492.fit.gz,,,1415.0,1199.0,2970.969970703125,5.9580078125,2.4778730869293213,23.17732048034668,32.0,184.1999969482422,191.8000030517578,10.885414123535156,0.010097712278366089,,,118.0,65.73735809326172,,,,,243.0,,,,,,,,,,,,,,,,0.0,,1.0,3006.699951171875,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0996253490448,0.0,,,,2720.0,,,,,,,,""
9379856133,"Jun 30, 2023, 10:43:34 AM",Suckcess Run,Run,,1234,3.42,,,false,,,activities/10061207538.fit.gz,,,1234.0,1234.0,3422.60009765625,4.452002048492432,2.7735819816589355,50.0,23.0,186.0,205.0,20.05352783203125,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,3575.5,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.7735819816589355,0.0,,,,,,,,,,,,""
9379856195,"Jul 2, 2023, 6:19:44 PM",Oakland - Webster Groves,Run,,3527,7.58,,,false,,,activities/10061207466.fit.gz,,,3527.0,3512.0,7588.06005859375,3.9740233421325684,2.160609245300293,74.06151580810547,96.0,154.1999969482422,196.5,12.3339204788208,-0.003953579813241959,,,111.0,65.4462661743164,,,,,595.0,,,,,,,,,,,,,,,,0.0,,1.0,7700.7998046875,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.1514205932617188,0.0,,,,7592.0,,,,,,,,""
9379856208,"Jun 24, 2023, 6:46:46 PM",Oakland - Glendale,Run,,2346,5.14,,,false,,,activities/10061207569.fit.gz,,,2346.0,2329.0,5145.93994140625,4.539990425109863,2.2095062732696533,46.705047607421875,54.0,168.6999969482422,193.0,9.734679222106934,-0.0019432795234024525,,,96.0,66.00993347167969,,,,,409.0,,,,,,,,,,,,,,,,0.0,,1.0,5206.2001953125,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.193495273590088,0.0,,,,5056.0,,,,,,,,""
9379856213,"Jun 22, 2023, 1:34:50 PM",Oakland - Webster Hills United Methodist Church,Run,,1322,3.67,,,false,,,activities/10061207610.fit.gz,,,1322.0,1294.0,3678.35009765625,4.154988765716553,2.8426198959350586,29.35636329650879,33.0,185.0,196.5,6.581822872161865,0.0027186102233827114,,,94.0,74.8035888671875,,,,,320.0,,,,,,,,,,,,,,,,0.0,,1.0,3704.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.7824130058288574,0.0,,,,3240.0,,,,,,,,""
9379856330,"May 29, 2023, 7:56:11 PM",Oakland - Webster Hills United Methodist Church,Run,,1500,3.60,,,false,,,activities/10061207706.fit.gz,,,1500.0,1462.0,3599.739990234375,4.215966701507568,2.462202548980713,23.614015579223633,194.0,185.0,192.1999969482422,5.4171295166015625,-0.016667870804667473,,,106.0,68.24117279052734,,,,,295.0,,,,,,,,,,,,,,,,0.0,,1.0,3618.699951171875,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.399826765060425,0.0,,,,3340.0,,,,,,,,""
9379856340,"Jun 1, 2023, 1:30:13 PM",Oakland - Webster Hills United Methodist Church,Run,,2414,5.27,,,false,,,activities/10061207677.fit.gz,,,2414.0,2271.0,5272.8701171875,4.426025390625,2.3218274116516113,45.585296630859375,130.0,186.1999969482422,198.39999389648438,13.052260398864746,0.0018965003546327353,,,118.0,69.4499282836914,,,,,435.0,,,,,,,,,,,,,,,,0.0,,1.0,5333.10009765625,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.1842875480651855,146.8000030517578,,,,5078.0,,,,,,,,""
9379856401,"May 19, 2023, 12:59:11 PM",Oakland - Glendale,Run,,1808,2.92,,,false,,,activities/10061207823.fit.gz,,,1808.0,1074.0,2921.719970703125,6.25,2.720409631729126,44.83816146850586,60.0,172.0,196.5,37.75115203857422,-0.006845282856374979,,,130.0,74.45037841796875,,,,,258.0,,,,,,,,,,,,,,,,0.0,,1.0,3072.800048828125,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.6159955263137817,0.0,,,,2598.0,,,,,,,,""
9379856405,"May 28, 2023, 12:06:05 PM",Oakland,Run,,2327,5.49,,,false,,,activities/10061207742.fit.gz,,,2327.0,2045.0,5495.509765625,6.761962890625,2.687290906906128,55.20924758911133,68.0,170.8000030517578,192.1999969482422,48.805171966552734,0.0,,,142.0,74.08279418945312,,,,,471.0,,,,,,,,,,,,,,,,0.0,,1.0,5566.10009765625,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.361628532409668,0.0,,,,4962.0,,,,,,,,""
9379856424,"May 23, 2023, 1:02:18 PM",Oakland - Glendale,Run,,1890,5.25,,,false,,,activities/10061207788.fit.gz,,,1890.0,1859.0,5252.669921875,4.212011814117432,2.825535297393799,45.31300735473633,53.0,167.39999389648438,192.1999969482422,6.777093410491943,-0.0019037937745451927,,,157.0,75.05235290527344,,,,,455.0,,,,,,,,,,,,,,,,0.0,,1.0,5297.10009765625,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.7791905403137207,0.0,,,,4562.0,,,,,,,,""
9379856517,"May 16, 2023, 12:54:36 PM",Oakland - Webster Groves,Run,,3686,7.65,,,false,,,activities/10061207887.fit.gz,,,3686.0,3296.0,7658.47998046875,5.621996879577637,2.3235678672790527,78.2589340209961,185.0,154.1999969482422,196.5,48.67624282836914,-0.0026114843785762787,,,94.0,66.96083068847656,,,,,620.0,,,,,,,,,,,,,,,,0.0,,1.0,7845.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.077721118927002,0.0,,,,7224.0,,,,,,,,""
9379856588,"May 5, 2023, 1:59:00 PM",Oakland - Glendale,Run,,2049,4.78,,,false,,,activities/10061207991.fit.gz,,,2049.0,2001.0,4787.240234375,4.995015621185303,2.3924238681793213,40.346397399902344,107.0,172.1999969482422,192.1999969482422,9.143970489501953,-0.00835554488003254,,,94.0,67.06542205810547,,,,,394.0,,,,,,,,,,,,,,,,0.0,,1.0,4830.5,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.336378812789917,0.0,,,,4360.0,,,,,,,,""
9379856611,"May 8, 2023, 8:20:50 PM",Oakland - Glendale,Run,,2803,5.73,,,false,,,activities/10061207951.fit.gz,,,2803.0,2710.0,5730.7900390625,3.8199870586395264,2.114682674407959,48.54727554321289,1010.0,168.60000610351562,196.5,12.113166809082031,0.0,,,83.0,63.46533966064453,,,,,441.0,,,,,,,,,,,,,,,,0.0,,1.0,5796.2001953125,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.044520139694214,0.0,,,,5844.0,,,,,,,,""
9379856717,"Apr 27, 2023, 5:39:52 PM",Oakland - Webster Hills United Methodist Church,Run,,1517,3.46,,,false,,,activities/10061208076.fit.gz,,,1517.0,1392.0,3461.830078125,4.454003810882568,2.4869468212127686,26.033206939697266,34.0,185.0,196.5,9.900894165039062,0.002888645511120558,,,118.0,67.51863098144531,,,,,283.0,,,,,,,,,,,,,,,,0.0,,1.0,3486.5,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.2820236682891846,0.0,,,,3220.0,,,,,,,,""
